All Possession Clips,Transitions,All Post-Up,Post-Up - Single Covered,Post-Up - Hard Double Team,Post-Up - Defense Commits,All P&R Ball Handler,P&R Ball Handler - Single Covered,P&R Ball Handler - Traps,P&R Ball Handler - Defense Commits,P&R Roll Man,All Isolation,Isolation - Single Covered,Isolation - Defense Commits,Off Screens,Handoffs,Spot Ups,Cuts,All Offensive Rebounds,Off. Reb. - Reset Offense,Off. Reb. - Put Backs,Miscellaneous Possessions,Win
3,2,1,1,1,1,4,2,1,3,2,2,2,2,3,1,3,1,1,2,2,3,1
2,2,2,2,1,1,6,2,1,3,1,2,2,2,2,2,2,2,1,3,1,1,1
2,2,3,2,2,1,4,2,1,3,1,1,1,2,2,1,3,2,1,3,1,2,1
1,3,4,2,1,2,2,1,1,2,1,2,2,1,2,1,2,1,1,3,1,2,1
2,1,3,2,2,1,7,2,1,5,2,2,2,1,3,2,1,2,1,1,1,2,1
3,3,2,2,1,1,5,2,2,3,2,2,2,1,1,1,2,2,1,2,1,2,0
3,3,3,1,2,2,2,1,1,2,1,2,1,2,1,2,4,4,2,4,1,2,1
2,1,2,2,1,1,4,2,1,2,1,4,3,2,1,2,2,2,1,2,1,2,0
2,3,3,2,1,1,3,1,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1
2,3,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,4,1,3,1,2,1
2,3,2,2,1,1,4,2,1,2,1,2,2,1,1,2,2,2,2,2,1,2,1
2,2,2,1,1,1,4,2,1,2,1,3,3,1,2,1,2,1,1,3,1,3,1
3,2,2,2,1,1,4,1,2,3,1,3,3,2,1,1,3,2,2,3,2,2,0
3,2,3,2,1,1,2,1,1,1,1,1,1,1,2,1,3,4,2,3,3,2,1
3,3,2,1,1,1,5,2,2,2,2,2,2,1,2,1,2,2,1,3,1,3,1
